EncounterType,HospitalCounty,OSHPD_ID,FacilityName,System,Ownership,Urban_Rural,Teaching,LicensedBedSize,PrimaryCareShortageArea,MentalHealthShortageArea,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters,Percent
ED Visits,Alameda,10735,Alameda Hospital,Alameda Health System,Government,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,9,608,1.5
ED Visits,Alameda,10735,Alameda Hospital,Alameda Health System,Government,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,213,608,35
ED Visits,Alameda,10735,Alameda Hospital,Alameda Health System,Government,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,266,608,43.8
ED Visits,Alameda,10735,Alameda Hospital,Alameda Health System,Government,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,120,608,19.7
ED Visits,Alameda,10739,Alta Bates Summit Medical Center-Alta Bates Campus,Sutter Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Age,0 to 18,17,3442,0.5
ED Visits,Alameda,10739,Alta Bates Summit Medical Center-Alta Bates Campus,Sutter Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Age,19 to 39,1238,3442,36
ED Visits,Alameda,10739,Alta Bates Summit Medical Center-Alta Bates Campus,Sutter Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Age,40 to 59,1531,3442,44.5
ED Visits,Alameda,10739,Alta Bates Summit Medical Center-Alta Bates Campus,Sutter Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Age,60+,656,3442,19.1
ED Visits,Alameda,10776,UCSF Benioff Children's Hospital Oakland,N/A,Non-Profit,Urban,Teaching,200-299,No,No,Homeless,Age,0 to 18,38,91,41.8
ED Visits,Alameda,10776,UCSF Benioff Children's Hospital Oakland,N/A,Non-Profit,Urban,Teaching,200-299,No,No,Homeless,Age,19 to 39,25,91,27.5
ED Visits,Alameda,10776,UCSF Benioff Children's Hospital Oakland,N/A,Non-Profit,Urban,Teaching,200-299,No,No,Homeless,Age,40 to 59,22,91,24.2
ED Visits,Alameda,10776,UCSF Benioff Children's Hospital Oakland,N/A,Non-Profit,Urban,Teaching,200-299,No,No,Homeless,Age,60+,6,91,6.6
ED Visits,Alameda,10846,Highland Hospital,Alameda Health System,Government,Urban,Non-Teaching,200-299,No,No,Homeless,Age,0 to 18,82,10415,0.8
ED Visits,Alameda,10846,Highland Hospital,Alameda Health System,Government,Urban,Non-Teaching,200-299,No,No,Homeless,Age,19 to 39,3341,10415,32.1
ED Visits,Alameda,10846,Highland Hospital,Alameda Health System,Government,Urban,Non-Teaching,200-299,No,No,Homeless,Age,40 to 59,4929,10415,47.3
ED Visits,Alameda,10846,Highland Hospital,Alameda Health System,Government,Urban,Non-Teaching,200-299,No,No,Homeless,Age,60+,2063,10415,19.8
ED Visits,Alameda,10937,Alta Bates Summit Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Age,0 to 18,20,4474,0.4
ED Visits,Alameda,10937,Alta Bates Summit Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Age,19 to 39,1576,4474,35.2
ED Visits,Alameda,10937,Alta Bates Summit Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Age,40 to 59,2079,4474,46.5
ED Visits,Alameda,10937,Alta Bates Summit Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Age,60+,799,4474,17.9
ED Visits,Alameda,10967,St. Rose Hospital,N/A,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,16,1471,1.1
ED Visits,Alameda,10967,St. Rose Hospital,N/A,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,19 to 39,449,1471,30.5
ED Visits,Alameda,10967,St. Rose Hospital,N/A,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,40 to 59,743,1471,50.5
ED Visits,Alameda,10967,St. Rose Hospital,N/A,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,60+,263,1471,17.9
ED Visits,Alameda,10987,Washington Hospital - Fremont,N/A,Government,Urban,Non-Teaching,400+,No,No,Homeless,Age,0 to 18,17,3385,0.5
ED Visits,Alameda,10987,Washington Hospital - Fremont,N/A,Government,Urban,Non-Teaching,400+,No,No,Homeless,Age,19 to 39,1496,3385,44.2
ED Visits,Alameda,10987,Washington Hospital - Fremont,N/A,Government,Urban,Non-Teaching,400+,No,No,Homeless,Age,40 to 59,1352,3385,39.9
ED Visits,Alameda,10987,Washington Hospital - Fremont,N/A,Government,Urban,Non-Teaching,400+,No,No,Homeless,Age,60+,520,3385,15.4
ED Visits,Alameda,13619,San Leandro Hospital,Alameda Health System,Government,Urban,Non-Teaching,1-99,Yes,No,Homeless,Age,0 to 18,5,860,0.6
ED Visits,Alameda,13619,San Leandro Hospital,Alameda Health System,Government,Urban,Non-Teaching,1-99,Yes,No,Homeless,Age,19 to 39,288,860,33.5
ED Visits,Alameda,13619,San Leandro Hospital,Alameda Health System,Government,Urban,Non-Teaching,1-99,Yes,No,Homeless,Age,40 to 59,435,860,50.6
ED Visits,Alameda,13619,San Leandro Hospital,Alameda Health System,Government,Urban,Non-Teaching,1-99,Yes,No,Homeless,Age,60+,132,860,15.3
ED Visits,Alameda,14050,Stanford Health Care - Valleycare,N/A,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Age,0 to 18,12,1740,0.7
